id,label,alt_labels,parent_id
SK5158,Scientific Software Group Soil Vapor Extraction BioSVE,scientificsoftwaregroupsoilvaporextractionbiosve,43232605
SK5159,Scientific Software Group SOILPARA,scientificsoftwaregroupsoilpara,43232605
SK5160,Scientific Software Group SOLUTRANS,scientificsoftwaregroupsolutrans,43232605
SK5161,Scientific Software Group StepMaster,scientificsoftwaregroupstepmaster,43232605
SK5162,Scientific Software Group SURF,scientificsoftwaregroupsurf,43233506
SK5163,Scientific Software Group SVFlux,scientificsoftwaregroupsvflux,43232605
SK5164,Scientific Software Group TUFLOW,scientificsoftwaregrouptuflow,43232605
SK5165,Scientific Software Group VAM2D,scientificsoftwaregroupvam2d,43232605
SK5166,Scientific Software Group WinFlow,scientificsoftwaregroupwinflow,43232605
SK5167,Scientific Software Group WinTran,scientificsoftwaregroupwintran,43232605
SK5168,Scientific Software GroupWHI UnSAT Suite,scientificsoftwaregroupwhiunsatsuite,43232306
SK5169,Scientific Software GroupWinFence,scientificsoftwaregroupwinfence,43232605
SK5174,Vieux & Associates Vflow,vieux&associatesvflow,43232605
SK5189,PCI Geomatics Geomatica,pcigeomaticsgeomatica,43233506
SK5195,MacKichan Software Scientific Notebook,mackichansoftwarescientificnotebook,43232605
SK5218,Gamma Associates mTab,gammaassociatesmtab,43232306
SK5219,Gravic Principia Remark,gravicprincipiaremark,43232306
SK5228,Power and Precision,powerandprecision,43232605
SK5232,Pulse Train Bellview TCI,pulsetrainbellviewtci,43232306
SK5254,TURBO Spring-Stat,"turbo spring stat,turbo springstat,turbospring-stat",43232605
SK5261,Scientific Software International BILOG-MG,"scientific software international bilog mg,scientific software international bilogmg,scientificsoftwareinternationalbilog-mg",43232605
SK5262,Scientific Software International HLM,scientificsoftwareinternationalhlm,43232605
SK5263,Scientific Software International LISREL,scientificsoftwareinternationallisrel,43232605
SK5264,Scientific Software International MULTILOG,scientificsoftwareinternationalmultilog,43232605
SK5265,Scientific Software International PARSCALE,scientificsoftwareinternationalparscale,43232605
SK5266,Scientific Software International TESTFACT,scientificsoftwareinternationaltestfact,43232605
SK5272,BlackHawk Canyon Publishers PracticianWorks,blackhawkcanyonpublisherspracticianworks,43232610
SK5279,DocuTrac QuicDoc,docutracquicdoc,43232610
SK5287,Medicine Rules PowerSEAT 360,medicinerulespowerseat360,43232610
SK5351,Citilabs TRANPLAN,citilabstranplan,43232605
SK5354,e-on VUE,"e on vue,e-onvue,eon vue",43232604
SK5355,ITC Integrated Land and Water Information System ILWIS,itcintegratedlandandwaterinformationsystemilwis,43233506
